host_id,listing_count,host_rank,cumulative_listing_count,cumulative_listing_share_percentage,cumulative_host_share_percentage
10802615,3,198,2408,77.7526638682596,25.984251968503933
265191783,3,199,2411,77.84953180497254,26.115485564304464
268906890,3,200,2414,77.9463997416855,26.246719160104988
32232191,3,201,2417,78.04326767839845,26.37795275590551
506544191,3,202,2420,78.14013561511139,26.509186351706038
662109622,3,203,2423,78.23700355182434,26.64041994750656
51481829,3,204,2426,78.3338714885373,26.77165354330709
696332985,3,205,2429,78.43073942525024,26.902887139107612
152646149,3,206,2432,78.52760736196319,27.034120734908136
6675090,3,207,2435,78.62447529867613,27.165354330708663
24476285,2,208,2437,78.68905392315145,27.296587926509186
26899710,2,209,2439,78.75363254762674,27.42782152230971
65982503,2,210,2441,78.81821117210204,27.559055118110237
78080643,2,211,2443,78.88278979657734,27.69028871391076
94903993,2,212,2445,78.94736842105263,27.821522309711288
391575732,2,213,2447,79.01194704552793,27.95275590551181
376693750,2,214,2449,79.07652567000324,28.083989501312335
492462021,2,215,2451,79.14110429447852,28.21522309711286
2351356,2,216,2453,79.20568291895383,28.346456692913385
102052937,2,217,2455,79.27026154342911,28.47769028871391
22273315,2,218,2457,79.33484016790442,28.608923884514436
18722224,2,219,2459,79.39941879237972,28.74015748031496
17364350,2,220,2461,79.46399741685502,28.871391076115486
17354380,2,221,2463,79.52857604133033,29.00262467191601
16878734,2,222,2465,79.59315466580563,29.133858267716533
12569371,2,223,2467,79.65773329028092,29.26509186351706
31975096,2,224,2469,79.72231191475622,29.396325459317584
31583707,2,225,2471,79.7868905392315,29.527559055118108
329787478,2,226,2473,79.85146916370681,29.658792650918635
323810058,2,227,2475,79.91604778818211,29.790026246719158
38934778,2,228,2477,79.9806264126574,29.92125984251969
243474450,2,229,2479,80.0452050371327,30.05249343832021
252457369,2,230,2481,80.109783661608,30.183727034120732
260771308,2,231,2483,80.17436228608331,30.314960629921263
239242652,2,232,2485,80.23894091055861,30.446194225721783
20715591,2,233,2487,80.30351953503391,30.577427821522306
33003286,2,234,2489,80.3680981595092,30.708661417322837
528137608,2,235,2491,80.4326767839845,30.839895013123357
526632910,2,236,2493,80.49725540845981,30.971128608923888
461973800,2,237,2495,80.5618340329351,31.10236220472441
462493313,2,238,2497,80.6264126574104,31.23359580052493
30168263,2,239,2499,80.69099128188569,31.36482939632546
30613375,2,240,2501,80.75556990636099,31.496062992125985
22828858,2,241,2503,80.82014853083629,31.627296587926505
405511511,2,242,2505,80.88472715531158,31.758530183727036
345911177,2,243,2507,80.9493057797869,31.88976377952756
366300043,2,244,2509,81.0138844042622,32.020997375328086
29131068,2,245,2511,81.07846302873749,32.15223097112861
29574073,2,246,2513,81.14304165321279,32.28346456692913
518110820,2,247,2515,81.20762027768808,32.414698162729664
452204023,2,248,2517,81.27219890216338,32.54593175853018
456752357,2,249,2519,81.33677752663868,32.677165354330704
429031523,2,250,2521,81.40135615111397,32.808398950131235
573953309,2,251,2523,81.46593477558928,32.93963254593176
652674004,2,252,2525,81.53051340006458,33.07086614173229
15257023,2,253,2527,81.59509202453987,33.202099737532805
551176650,2,254,2529,81.65967064901518,33.33333333333333
