host_id,host_is_superhost,average_host_rating,rated_listing_count
528168810,True,4.9025,4
528203435,False,4.5,2
535899829,False,3.8600000000000003,4
538385739,True,4.96,2
544341239,False,5.0,1
544525434,False,3.0,1
545750991,False,4.905,6
545752502,True,4.4,5
545752783,False,5.0,2
545752892,False,3.0,1
545753012,False,4.7,3
551176650,False,3.0,2
551640139,False,5.0,2
554949756,False,3.7016666666666667,6
572592994,False,3.5,1
575534036,False,5.0,1
576414012,False,3.9,2
578365972,False,4.08,2
581868519,True,5.0,4
594643865,False,5.0,3
651570560,False,4.343333333333334,3
651579232,False,3.3333333333333335,3
653907958,False,3.8519999999999994,5
658005868,False,3.0,1
667873257,False,4.75,2
676710654,False,2.0425,4
676721150,False,5.0,1
677634500,False,4.0,2
680853463,False,5.0,2
680876971,False,2.215,4
681048765,False,3.0,2
681052352,False,4.67,1
681098024,False,3.02,2
681289641,False,4.3,2
682064636,False,3.38,1
682064934,False,4.35,1
682066249,False,3.14,1
682067680,False,3.25,2
682068197,False,4.645,2
682068491,False,3.25,1
683427647,False,4.0,2
685354244,False,4.0,1
685640177,False,4.37,2
686036051,False,4.75,2
687512818,False,4.59,4
689920722,False,4.0,1
689921502,False,3.706666666666667,3
694002672,True,4.758571428571429,7
696298612,False,4.9725,4
696336606,False,4.446,5
696336784,False,4.355,2
696337316,False,4.0,1
696337650,False,3.615,2
697573716,False,4.2975,4
701528793,False,4.833333333333333,6
708079827,False,3.29,2
708644503,False,5.0,1
711330825,False,4.25,1
711461826,True,4.9125,4
712071209,False,4.41,1
712073239,False,2.0,1
712073934,False,4.21,1
712074229,False,3.0,1
712274411,False,3.0,1
717297768,False,4.602857142857142,7
719430690,False,4.0,1
719655921,False,4.6,1
722769303,False,3.986666666666667,6
732177708,False,4.95,4
734129760,False,4.413333333333333,3
735286004,True,4.7219999999999995,5
735971860,False,4.042857142857143,7
748341190,False,4.75,4
754039486,False,5.0,1
754950767,False,5.0,2
